src_ip,unq_dst_ip,allow,drop,frequency,pkts_sent,pkts_received,bytesin,bytesout,unq_dst_port,timestamp
187.44.158.33,4,30,12,42,170,118,25440,55171,3,2022-01-11 08:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-11 08:00:00
46.39.79.251,3,18,1,19,155,115,22682,77480,2,2022-01-11 09:00:00
187.44.158.33,3,26,9,35,123,50,11461,4516,2,2022-01-11 09:00:00
229.46.205.74,127,1782,687,2469,144829,355328,15501659,430773727,5,2022-01-11 09:00:00
187.44.158.33,3,25,8,33,103,49,8772,4570,2,2022-01-11 10:00:00
229.46.205.74,76,1787,620,2407,289814,651102,27612750,825708019,4,2022-01-11 10:00:00
46.39.79.251,2,4,0,4,21,18,2713,7396,2,2022-01-11 10:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-11 11:00:00
229.46.205.74,89,2226,835,3061,36523,63985,6597469,64195663,5,2022-01-11 11:00:00
187.44.158.33,3,25,10,35,119,59,10682,5404,2,2022-01-11 11:00:00
229.46.205.74,27,84,27,111,4073,5924,2206361,1788910,4,2022-01-11 12:00:00
46.39.79.251,3,7,2,9,57,45,8412,18226,2,2022-01-11 12:00:00
187.44.158.33,11,48,24,72,720,808,60616,1043963,3,2022-01-11 12:00:00
46.39.79.251,2,4,0,4,25,20,2981,7560,2,2022-01-11 13:00:00
229.46.205.74,20,62,19,81,3971,5641,2191283,1564219,4,2022-01-11 13:00:00
187.44.158.33,4,28,8,36,139,88,22785,51235,3,2022-01-11 13:00:00
46.39.79.251,2,4,0,4,19,14,2538,7144,2,2022-01-11 14:00:00
229.46.205.74,116,2864,1076,3940,39180,60581,8767527,52003579,4,2022-01-11 14:00:00
187.44.158.33,6,37,16,53,211,126,22006,30062,4,2022-01-11 14:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-11 15:00:00
229.46.205.74,30,711,236,947,35264,96977,4437256,120681561,4,2022-01-11 15:00:00
187.44.158.33,3,30,13,43,135,76,12410,7018,2,2022-01-11 15:00:00
229.46.205.74,42,1169,391,1560,52752,104801,8117899,121502052,4,2022-01-11 16:00:00
187.44.158.33,4,29,12,41,139,78,14275,17286,3,2022-01-11 16:00:00
46.39.79.251,2,4,0,4,19,13,2538,7054,2,2022-01-11 16:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-11 17:00:00
229.46.205.74,42,822,266,1088,29791,67190,4255446,80467062,4,2022-01-11 17:00:00
187.44.158.33,5,13923,8,13931,14223,14200,1078764,2193484,4,2022-01-11 17:00:00
46.39.79.251,3,8,2,10,52,40,8046,17872,2,2022-01-11 18:00:00
187.44.158.33,9,46,22,68,4442,8211,351431,12288841,3,2022-01-11 18:00:00
229.46.205.74,22,74,25,99,4032,5578,2185335,1562909,4,2022-01-11 18:00:00
187.44.158.33,5,26,3804,3830,3922,53,292887,4868,3,2022-01-12 08:00:00
229.46.205.74,81,1258,1106,2364,192476,368291,15514219,472603383,4,2022-01-12 08:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-12 08:00:00
229.46.205.74,35,1712,577,2289,245592,481395,22529807,612590825,4,2022-01-12 09:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-12 09:00:00
187.44.158.33,6,10565,2947,13512,13636,10647,1010372,1583279,4,2022-01-12 09:00:00
229.46.205.74,85,1696,590,2286,105771,197255,10563619,246428033,4,2022-01-12 10:00:00
187.44.158.33,6,31,3787,3818,3931,68,295745,10800,4,2022-01-12 10:00:00
46.39.79.251,2,16,0,16,144,107,18743,72149,2,2022-01-12 10:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-12 11:00:00
229.46.205.74,42,786,260,1046,40634,66664,3983151,82871150,4,2022-01-12 11:00:00
187.44.158.33,10,42,3751,3793,11658,14433,857600,20775275,5,2022-01-12 11:00:00
187.44.158.33,6,29,3701,3730,3819,70,286639,10146,4,2022-01-12 12:00:00
229.46.205.74,25,108,38,146,747,724,151320,296841,4,2022-01-12 12:00:00
46.39.79.251,3,7,2,9,53,39,8187,14910,2,2022-01-12 12:00:00
46.39.79.251,4,10,11,21,9609,14193,865581,21448145,3,2022-01-12 13:00:00
187.44.158.33,7,31,3763,3794,3894,76,292185,11656,5,2022-01-12 13:00:00
229.46.205.74,23,94,31,125,2742,2683,241877,278640,5,2022-01-12 13:00:00
229.46.205.74,37,600,193,793,30555,59301,2838396,74344588,4,2022-01-12 14:00:00
187.44.158.33,8,32,3787,3819,3945,104,298952,23357,5,2022-01-12 14:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-12 14:00:00
229.46.205.74,47,483,172,655,26380,52985,2755545,65829113,4,2022-01-12 15:00:00
46.39.79.251,2,4,0,4,19,14,2538,7144,2,2022-01-12 15:00:00
187.44.158.33,6,26,3790,3816,3916,56,292894,5060,4,2022-01-12 15:00:00
46.39.79.251,3,17,1,18,154,110,20786,74691,2,2022-01-12 16:00:00
229.46.205.74,114,1321,510,1831,24243,43765,3419779,40605211,4,2022-01-12 16:00:00
187.44.158.33,14,51,3779,3830,36042,71377,3028298,107881626,4,2022-01-12 16:00:00
187.44.158.33,8,35,2875,2910,3103,155,259054,75706,4,2022-01-12 17:00:00
229.46.205.74,108,1940,720,2660,47477,92601,5732371,106514919,4,2022-01-12 17:00:00
46.39.79.251,2,3,0,3,20,15,2611,7174,2,2022-01-12 17:00:00
187.44.158.33,3,27,11,38,142,59,13443,5284,2,2022-01-12 18:00:00
229.46.205.74,25,102,34,136,638,525,135178,158416,4,2022-01-12 18:00:00
46.39.79.251,3,8,2,10,54,40,8277,15000,2,2022-01-12 18:00:00
46.39.79.251,5,14,10,24,4526,5862,407683,8817096,3,2022-01-13 08:00:00
187.44.158.33,5,38,13,51,229,125,65664,33550,3,2022-01-13 08:00:00
229.46.205.74,32,105,31,136,1049,1300,173955,1162785,4,2022-01-13 08:00:00
229.46.205.74,120,3240,1145,4385,239497,496058,24423840,620443930,4,2022-01-13 09:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-13 09:00:00
187.44.158.33,3,27,8,35,117,48,10646,4398,2,2022-01-13 09:00:00
187.44.158.33,3,26,8,34,119,43,11410,3866,2,2022-01-13 10:00:00
46.39.79.251,2,5,0,5,23,17,2857,7354,2,2022-01-13 10:00:00
229.46.205.74,125,2730,1021,3751,39478,53439,6247639,48150178,4,2022-01-13 10:00:00
229.46.205.74,261,5134,1847,6981,368320,867045,37007143,1090726190,4,2022-01-13 11:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-13 11:00:00
187.44.158.33,3,27,9,36,114,47,11032,4164,2,2022-01-13 11:00:00
229.46.205.74,35,1593,514,2107,283454,547651,24963897,700267037,4,2022-01-13 12:00:00
187.44.158.33,10,47,22,69,688,804,59230,1048932,3,2022-01-13 12:00:00
46.39.79.251,3,8,2,10,56,42,8369,17992,2,2022-01-13 12:00:00
229.46.205.74,44,1997,673,2670,410351,914950,34766645,1175396382,4,2022-01-13 13:00:00
46.39.79.251,3,18,1,19,159,115,22928,77481,2,2022-01-13 13:00:00
187.44.158.33,4,28,10,38,153,97,24632,51845,3,2022-01-13 13:00:00
229.46.205.74,37,1120,374,1494,231418,538583,21430048,687855142,4,2022-01-13 14:00:00
46.39.79.251,2,4,0,4,21,16,2701,7264,2,2022-01-13 14:00:00
187.44.158.33,6,69,29,98,464,343,70287,119267,3,2022-01-13 14:00:00
229.46.205.74,27,667,220,887,177956,454904,14168881,586947423,3,2022-01-13 15:00:00
187.44.158.33,4,34,15,49,197,125,24629,26525,3,2022-01-13 15:00:00
46.39.79.251,2,3,0,3,20,13,2599,7054,2,2022-01-13 15:00:00
46.39.79.251,2,4,0,4,21,19,2713,7462,2,2022-01-13 16:00:00
187.44.158.33,3,27,10,37,115,60,10655,5488,2,2022-01-13 16:00:00
229.46.205.74,42,1327,450,1777,377257,942670,31513149,1213069986,4,2022-01-13 16:00:00
229.46.205.74,205,2752,1037,3789,470292,987970,39681965,1242114547,7,2022-01-13 17:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-13 17:00:00
187.44.158.33,4,28,10,38,119,63,10810,5854,3,2022-01-13 17:00:00
229.46.205.74,27,168,54,222,82789,165666,5967708,214054152,4,2022-01-13 18:00:00
187.44.158.33,11,46,25,71,4788,9111,403196,13560379,4,2022-01-13 18:00:00
46.39.79.251,3,8,2,10,55,44,8315,18125,2,2022-01-13 18:00:00
187.44.158.33,3,25,8,33,106,48,10061,4382,2,2022-01-14 08:00:00
229.46.205.74,49,615,215,830,103272,219422,8525918,280908211,4,2022-01-14 08:00:00
46.39.79.251,3,5,1,6,40,34,7202,17338,2,2022-01-14 08:00:00
229.46.205.74,50,2191,741,2932,388675,833421,33254763,1067874632,4,2022-01-14 09:00:00
187.44.158.33,6,31,12,43,201,122,37254,63128,4,2022-01-14 09:00:00
46.39.79.251,3,24,0,24,1100,685,1234478,152715,3,2022-01-14 09:00:00
187.44.158.33,3,27,11,38,134,65,12558,5988,2,2022-01-14 10:00:00
229.46.205.74,111,1502,526,2028,731446,1166414,51792700,1506591049,4,2022-01-14 10:00:00
46.39.79.251,4,11,0,11,736,473,832172,86834,3,2022-01-14 10:00:00
229.46.205.74,75,1194,426,1620,416372,678000,33538287,869244599,4,2022-01-14 11:00:00
46.39.79.251,4,10,0,10,550,360,616774,68222,3,2022-01-14 11:00:00
187.44.158.33,4,26,7,33,257,195,38324,89939,3,2022-01-14 11:00:00
229.46.205.74,31,628,208,836,220763,343049,16959193,441669193,4,2022-01-14 12:00:00
187.44.158.33,4,29,12,41,161,82,17542,11121,3,2022-01-14 12:00:00
46.39.79.251,5,10,2,12,303,201,288647,48188,3,2022-01-14 12:00:00
229.46.205.74,26,85,32,117,164499,293021,13756749,374856906,4,2022-01-14 13:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-14 13:00:00
187.44.158.33,11,50,26,76,25841,56004,2100072,84596707,3,2022-01-14 13:00:00
187.44.158.33,5,31,12,43,161,92,15509,23152,3,2022-01-14 14:00:00
46.39.79.251,3,6,1,7,41,35,7292,17423,2,2022-01-14 14:00:00
229.46.205.74,69,634,226,860,445274,790933,36479539,1013096761,4,2022-01-14 14:00:00
229.46.205.74,137,3463,1304,4767,206574,336612,20687285,406672116,4,2022-01-14 15:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-14 15:00:00
187.44.158.33,3,25,10,35,120,61,11135,5690,2,2022-01-14 15:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-14 16:00:00
